,Zona,Titulo,Teléfono,Dirección,Información General,Principal,Enrolment,Ethos,Catchment,Fees
72,Dublin-11,St Mary's Secondary School ,Phone:_ 01-8374413  ," Holy Faith Convent Glasnevin Dublin 11  ,Dublin City D11X478",Post Primary School  Roll number:_60770P e:_office@stmaryshfg.ie w:_www.stmaryshfcglasnevin.com  Check out their Facebook!, Principal:_Paul Clarke ,Enrolment:_Girls:_832    (2022/23) ,Ethos:_Catholic   ,:_Whitehall-Drumcondra-Glasnevin ,Fees:_No 
73,Dublin-11,St Michaels Holy Faith Secondary School ,Phone:_ 01-8341767  ," Wellmount Road Finglas Dublin 11  ,Dublin City D11H521",Post Primary School  Roll number:_60741I e:_stmichaelshf11@gmail.com w:_www.stmichaelshf.ie, Principal:_Mr John Barry ,Enrolment:_Girls:_635    (2022/23) ,Ethos:_Catholic   ,:_Finglas ,Fees:_No 
74,Dublin-12,Ardscoil Eanna (School Closed) ,Phone:_ 014553020  ," 314/318 Crumlin Road Crumlin Dublin 12  ,Dublin City 12",Post Primary School  Roll number:_60990G     , Principal:_School Closed Aug 2016 ,Enrolment:_Boys:_37 Girls:_13    (2022/23) ,Ethos:_Catholic   ,:_Crumlin-Kimmage ,Fees:_No 
75,Dublin-12,Rosary College ,Phone:_ 01-4555824  ," Armagh Road Crumlin Dublin 12  ,Dublin Belgard D12R726",Post Primary School  Roll number:_60841M e:_info@rosarycollege.ie w:_www.rosarycollege.ie  Check out their facebook!, Principal:_Ms Jean Doyle ,Enrolment:_Boys:_108 Girls:_95    (2022/23) ,Ethos:_Catholic   ,:_Crumlin-Kimmage ,Fees:_No 
76,Dublin-12,Clogher Road Community College ,Phone:_ 01-4536397  ," Clogher Road Crumlin Dublin 12  ,Dublin City D12YP11",Post Primary School  Roll number:_70160R e:_info@clogher.cdetb.ie w:_www.clogherroadcc.ie/, Principal:_Lesley Byrne ,Enrolment:_Boys:_150 Girls:_63    (2022/23) ,Ethos:_Inter Denominational   ,:_Crumlin-Kimmage ,Fees:_No 
77,Dublin-12,Loreto College ,Phone:_ 01-4542380  ," Crumlin Road Dublin 12  ,Dublin City D12E196",Post Primary School  Roll number:_60800V e:_secretary@loretocrumlin.ie w:_www.loretocrumlin.ie, Principal:_Mary Ellen Murphy ,Enrolment:_Girls:_378    (2022/23) ,Ethos:_Catholic   ,:_Crumlin-Kimmage ,Fees:_No 
78,Dublin-12,St Pauls Secondary School ,Phone:_ 01-4505682  ," Greenhills Dublin 12  ,Dublin Belgard D12E544",Post Primary School  Roll number:_60902G e:_info@stpaulsg.ie w:_stpaulsg.ie, Principal:_Geraldine Troy ,Enrolment:_Girls:_408    (2022/23) ,Ethos:_Catholic   ,:_Greenhills-Walkinstown-Drimnagh ,Fees:_No 
79,Dublin-12,Greenhills College ,Phone:_ 01 4507138  ," Limekiln Avenue Walkinstown,   ,Dublin D12DP8W",Post Primary School  Roll number:_70130I e:_admin.greenhills@ddletb.ie w:_www.greenhillscollege.ie  Check out their facebook!, Principal:_Noirin Lannon ,Enrolment:_Boys:_155    (2022/23) ,Ethos:_Inter Denominational   ,:_Greenhills-Walkinstown-Drimnagh-Crumlin ,Fees:_No 
80,Dublin-12,Drimnagh Castle Secondary School ,Phone:_ 01-4518316  ," Long Mile Road Walkinstown Dublin 12  ,Dublin City D12K682",Post Primary School  Roll number:_60480G e:_info@drimnaghcastle.ie w:_www.drimnaghcastle.ie, Principal:_John J Devilly ,Enrolment:_Boys:_491    (2022/23) ,Ethos:_Catholic   ,:_Greenhills-Walkinstown-Drimnagh ,Fees:_No 
81,Dublin-12,Our Lady Of Mercy Secondary School ,Phone:_ 01-4554691  ," Mourne Road Drimnagh Dublin 12  ,Dublin City D12HT22",Post Primary School  Roll number:_60991I e:_admin@olmdrimnagh.com w:_www.olmdrimnagh.com, Principal:_Padhraig Gibbons ,Enrolment:_Boys:_144 Girls:_106    (2022/23) ,Ethos:_Catholic   ,:_Greenhills-Walkinstown-Drimnagh ,Fees:_No 
82,Dublin-12,Assumption Secondary School ,Phone:_ 01-4507017  ," Walkinstown Dublin 12  ,Dublin City D12PK75",Post Primary School  Roll number:_60851P e:_assumptionsecretary@hotmail.com, Principal:_Siobhain Hoey ,Enrolment:_Girls:_256    (2022/23) ,Ethos:_Catholic   ,:_Greenhills-Walkinstown-Drimnagh ,Fees:_No 
83,Dublin-13,Pobalscoil Neasain ,Phone:_ 01-8063092  ," Baldoyle Dublin 13  ,Dublin Fingal D13F9K2",Post Primary School  Roll number:_91342R e:_office@psn.ie w:_www.psn.ie, Principal:_Pat McKenna ,Enrolment:_Boys:_445 Girls:_349    (2022/23) ,Ethos:_Inter Denominational   ,:_Bayside-Baldoyle-Howth-Sutton ,Fees:_No 
84,Dublin-13,St Marys Secondary School ,Phone:_ 01-8325591  ," Baldoyle Dublin 13  ,Dublin Fingal D13W208",Post Primary School  Roll number:_60021U e:_info@stmarysbaldoyle.org w:_www.stmarysbaldoyle.org, Principal:_Edel Greene ,Enrolment:_Girls:_238    (2022/23) ,Ethos:_Catholic   ,:_Bayside-Baldoyle-Howth-Sutton ,Fees:_No 
85,Dublin-13,Gaelcholáiste Reachrann ,Phone:_ 01-8770935  ," Bóthar Mhainistir Na Gráinsí, Domhnach Míde, Baile Atha Cliath 13  ,Dublin Fingal D13NP52",Post Primary School  Roll number:_76085N   w:_gcreachrann.ie/, Principal:_Eimer Nic An Ri ,Enrolment:_Boys:_245 Girls:_265    (2022/23) ,Ethos:_Inter Denominational   ,:_North Co. Dublin:_Balbriggan-Skerries-Rush ,Fees:_No 
86,Dublin-13,Dublin North East Educate Together Secondary School ,Phone:_   ," C/O Grange Community College, Grange Abbey Road, Donaghmede, D13  ,Dublin City ",Post Primary School  Roll number:_68346T e:_info@dublinnortheaseetss.ie  Check out their facebook!, Principal:_Aisling Kenevey ,Enrolment:_Boys:_157 Girls:_145    (2022/23) ,Ethos:_Multi Denominational    ,,Fees:
87,Dublin-13,St. Fintan's High School ,Phone:_ 01-8324632  ," Dublin Road Sutton Dublin 13  ,Dublin Fingal D13HN59",Post Primary School  Roll number:_60370W e:_info@stfintanshs.ie w:_www.stfintanshs.ie  Visit their Facebook Page, Principal:_Kathy Mullen ,Enrolment:_Boys:_700    (2022/23) ,Ethos:_Catholic   ,:_Bayside-Baldoyle-Howth-Sutton ,Fees:_No 
88,Dublin-13,Grange Community College ,Phone:_ 01-8471422  ," Grange Road Donaghmede Dublin 13  ,Dublin City D13NX25",Post Primary School  Roll number:_70020B e:_grangeccadmin@ddletb.ie w:_www.grangecc.ie, Principal:_Sean Smyth ,Enrolment:_Boys:_239 Girls:_211    (2022/23) ,Ethos:_Inter Denominational   ,:_Kilbarrack-Donahies-Grange-Donaghmede ,Fees:_No 
89,Dublin-13,Sutton Park School ,Phone:_ 01-8322940  ," St Fintans Road Sutton Dublin 13  ,Dublin Fingal D13EA33",Post Primary School  Roll number:_60381E e:_info@sps.ie w:_www.suttonparkschool.com, Principal:_Ronan Walsh  ,Enrolment:_Boys:_255 Girls:_199    (2022/23) ,Ethos:_Church Of Ireland   ,":_Non-Catholic Schools, Dublin ","Fees:_Yes €7,995"
90,Dublin-13,The Donahies Community School ,Phone:_ 01-8473522  ," Streamville Road Dublin 13  ,Dublin City D13YN77",Post Primary School  Roll number:_91318U e:_office@donahiescs.ie w:_www.donahiescommunityschool.com  Check out their facebook!, Principal:_Peter Keohane ,Enrolment:_Boys:_269 Girls:_235    (2022/23) ,Ethos:_Inter Denominational   ,:_Kilbarrack-Donahies-Grange-Donaghmede ,Fees:_No 
91,Dublin-13,Santa Sabina Dominican College ,Phone:_ 01-8322200  ," Sutton, Dublin 13  ,Dublin Fingal D13RD80",Post Primary School  Roll number:_60380C e:_admin@santasabina.ie w:_www.santasabina.ie, Principal:_Joyce Kavanagh ,Enrolment:_Girls:_719    (2022/23) ,Ethos:_Catholic   ,:_Bayside-Baldoyle-Howth-Sutton ,Fees:_No 
92,Dublin-14,Gaelcholáiste An Phiarsaigh ,Phone:_ 01 4933335  ," An Mhainistir, Bóthar Na Gráinsí, Ráth Fearnáin, Baile Átha Cliath 14  ,Dun Laoghaire - Rathdown D14PP82",Post Primary School  Roll number:_68161H e:_eolas@gaelcholaiste.com w:_www.gaelcholaiste.com  Check out their facebook!, Principal:_Joe Mac Suibhne ,Enrolment:_Boys:_147 Girls:_172    (2022/23) ,Ethos:_Multi Denominational    ,,Fees:
93,Dublin-14,Loreto High School Beaufort ,Phone:_ 01-4933251  ," Beaufort, Grange Rd, Rathfarnham, Dublin 14   ,Dublin Belgard D14E521",Post Primary School  Roll number:_60340N e:_info@loretohighschool.com w:_www.loretohighschool.com, Principal:_Aoife Kavanagh ,Enrolment:_Girls:_634    (2022/23) ,Ethos:_Catholic   ,:_Marley-Ballinteer-Rathfarnham-Churchtown ,"Fees:_Yes €4,135"
94,Dublin-14,Our Ladys Grove Secondary School ,Phone:_ 01-2951913  ," Goatstown Road Dublin 14  ,Dun Laoghaire - Rathdown D14AK75",Post Primary School  Roll number:_60891E e:_office@jesusandmarycollege.ie w:_www.olgrove.ie, Principal:_Colm Dooley ,Enrolment:_Girls:_290    (2022/23) ,Ethos:_Catholic   ,:_Milltown-Goatstown-Stillorgan-Kilmacud-Mt. Merrion ,Fees:_No 
95,Dublin-14,Mount Anville Secondary School ,Phone:_ 01-2885313  ," Mount Anville Rd Dublin 14  ,Dun Laoghaire - Rathdown D14A8P3",Post Primary School  Roll number:_60140F e:_office@mountanville.ie w:_www.mountanville.ie, Principal:_Elizabeth Caffrey ,Enrolment:_Girls:_691    (2022/23) ,Ethos:_Catholic   ,:_Dundrum-Balally ,"Fees:_Yes €6,850"
96,Dublin-14,Goatstown Educate Together Secondary School ,Phone:_ 01 296 4449  ," Old Notre Dame Building, Upper Churchtown Road  ,Dun Laoghaire - Rathdown ",Post Primary School  Roll number:_68366C e:_office@goatstownetss.ie w:_www.goatstownetss.ie/, Principal:_Jonathan Browner   ,Enrolment:_Boys:_73 Girls:_72    (2022/23) ,Ethos:_Multi-Denominational    ,,Fees:
97,Dublin-14,St Killian's Deutsche Schule ,Phone:_ 01-2883323  ," Roebuck Road Clonskeagh Dublin 14  ,Dun Laoghaire - Rathdown D14P7F2",Post Primary School  Roll number:_60630W e:_admin@kilians.com w:_www.kilians.com, Principal:_Nigel Mac Millan ,Enrolment:_Boys:_238 Girls:_205    (2022/23) ,Ethos:_Inter Denominational   ,:_Milltown-Goatstown-Stillorgan-Kilmacud-Mt. Merrion ,"Fees:_Yes €5,900"
98,Dublin-14,Da La Salle College ,Phone:_ 01-2981067  ," Upper Churchtown Road Churchtown Dublin 14  ,Dun Laoghaire - Rathdown D14A0T9",Post Primary School  Roll number:_60310E e:_office@delasallecollege.com w:_www.delasallecollege.com, Principal:_Siobhan Foster ,Enrolment:_Boys:_319    (2022/23) ,Ethos:_Catholic   ,:_Marley-Ballinteer-Rathfarnham-Churchtown ,Fees:_No 
99,Dublin-14,Notre Dame Secondary School (Closed) ,Phone:_   ," Upper Churchtown Road, Dundrum, Dublin 14  ,Dun Laoghaire - Rathdown D14Y563",Post Primary School  Roll number:_60160L   w:_www.notredame.ie, Principal:_,Enrolment:_Girls:_64    (2022/23) ,Ethos:_Catholic   ,:_Marley-Ballinteer-Rathfarnham-Churchtown ,Fees:_Yes 
100,Dublin-15,Blakestown Community School ,Phone:_ 01-8215522  ," Blanchardstown Dublin 15  ,Dublin Fingal D15F978",Post Primary School  Roll number:_91316Q e:_admin@blakestowncs.ie w:_www.blakestowncs.ie, Principal:_Francis Milling ,Enrolment:_Boys:_211 Girls:_237    (2022/23) ,Ethos:_Inter Denominational   ,:_Blanchardstown ,Fees:_No 
101,Dublin-15,Rath Dara Community College ,Phone:_ 01-8201488  ," Blanchardstown Rd North Dublin 15  ,Dublin Fingal D15P380",Post Primary School  Roll number:_70081V e:_rcc@ddletb.ie w:_rathdaracc.com/, Principal:_Emily Doyle ,Enrolment:_Boys:_126 Girls:_109    (2022/23) ,Ethos:_Inter Denominational   ,:_Blanchardstown ,Fees:_No 
102,Dublin-15,Castleknock Community College ,Phone:_ 01-8221626  ," Carpenterstown Road Castleknock Dublin 15  ,Dublin Fingal D15A996",Post Primary School  Roll number:_76062B e:_admin@castleknockcc.ie w:_www.castleknockcc.ie, Principal:_Mr. John Cronin ,Enrolment:_Boys:_646 Girls:_598    (2022/23) ,Ethos:_Inter Denominational   ,:_Castleknock ,Fees:_No 
103,Dublin-15,Castleknock College ,Phone:_ 01-8213051  ," Castleknock Dublin 15  ,Dublin Fingal D15PD95",Post Primary School  Roll number:_60100Q e:_info@castleknockcollege.ie w:_www.castleknockcollege.ie, Principal:_Christopher Kinder ,Enrolment:_Boys:_741    (2022/23) ,Ethos:_Catholic   ,:_Castleknock ,"Fees:_Yes €6,592"
104,Dublin-15,Coolmine Community School ,Phone:_ 01-8214141  ," Clonsilla, Dublin 15  ,Dublin Fingal D15FW97",Post Primary School  Roll number:_91315O e:_principal@coolminecs.ie w:_coolminecs.ie, Principal:_Patricia Mc Phillips ,Enrolment:_Boys:_529 Girls:_461    (2022/23) ,Ethos:_Inter Denominational   ,:_Blanchardstown ,Fees:_No 
105,Dublin-15,Edmund Rice College Carpenterstown Castleknock ,Phone:_ 087 0922685  ," C/O Le Cheile Secondary School, Hollystown Road, Tyrellstown  ,Dublin 15",Post Primary School  Roll number:_68306H e:_admin@ercdublin.ie , Principal:_Brendan Harrington ,Enrolment:_Boys:_250 Girls:_266    (2022/23) ,Ethos:_Catholic    ,,Fees:_ Opening Sept 2017
106,Dublin-15,Hansfield Educate Together Secondary School ,Phone:_ (01) 8614729  ," Hansfield, Dublin 15  ,Dublin Fingal D15H1FC",Post Primary School  Roll number:_68101M e:_info@hetss.ie w:_www.hansfieldsecondary.ie  Check out their Facebook page!, Principal:_Bernie Judge ,Enrolment:_Boys:_448 Girls:_380    (2022/23) ,Ethos:_Multi-Denominational    ,,Fees:
107,Dublin-15,Hartstown Community School ,Phone:_ 01-8207863  ," Hartstown Clonsilla Dublin 15  ,Dublin Fingal D15X049",Post Primary School  Roll number:_91339F e:_info@hartstowncs.com w:_hartstowncs.com, Principal:_Lucia Griffin ,Enrolment:_Boys:_572 Girls:_541    (2022/23) ,Ethos:_Inter Denominational   ,:_Blanchardstown ,Fees:_No 
108,Dublin-15,Colaiste Pobail Setanta ,Phone:_ 01 6402403  ," Phibblestown, Clonee, Dublin 15  ,Dublin Fingal D15EY17",Post Primary School  Roll number:_76098W e:_admin@cpsetanta.ie w:_www.cpsetanta.ie, Principal:_Liam Walsh ,Enrolment:_Boys:_537 Girls:_513    (2022/23) ,Ethos:_Multi Denominational    ,,Fees:
109,Dublin-15,Luttrellstown Community College ,Phone:_ 01- 8228060  ," Porterstown Road, Clonsilla, Dublin 15  ,Dublin Fingal D15DY29",Post Primary School  Roll number:_76130P e:_info.luttrellstowncc@ddletb.ie w:_www.luttrellstowncc.ie/, Principal:_Ms. Fionnuala Ni Chaisil ,Enrolment:_Boys:_545 Girls:_439    (2022/23) ,Ethos:_Inter Denominational    ,,Fees:
110,Dublin-15,Le Cheile Secondary School ,Phone:_ 018227181   ," Tyrrelstown, Mulhuddart, Dublin 15  ,Dublin Fingal D15NX98",Post Primary School  Roll number:_68083N   w:_www.lecheilesecondaryschool.ie, Principal:_Leona Harrington ,Enrolment:_Boys:_500 Girls:_417    (2022/23) ,Ethos:_Catholic    ,,Fees:
111,Dublin-16,Wesley College ,Phone:_ 01-2987066  ," Ballinteer Dublin 16  ,Dun Laoghaire - Rathdown D16NX73",Post Primary School  Roll number:_61010U e:_info@wesleycollege.ie w:_www.wesleycollege.ie, Principal:_Mr Christopher Woods ,Enrolment:_Boys:_497 Girls:_450    (2022/23) ,Ethos:_Methodist   ,":_Non-Catholic Schools, Dublin ","Fees:_Yes €7,040 (17,350 Boarding)"
112,Dublin-16,Ballinteer Community School ,Phone:_ 01-2988195  ," Ballinteer Dublin 16  ,Dublin Belgard D16XF79",Post Primary School  Roll number:_91305L e:_admin@ballinteercs.ie w:_www.ballinteercs.ie, Principal:_Amy Doherty ,Enrolment:_Boys:_210 Girls:_212    (2022/23) ,Ethos:_Inter Denominational    ,,Fees:_No 
113,Dublin-16,Colaiste Eanna Cbs ,Phone:_ 01-4931767  ," Ballyroan Rathfarnham Dublin 16  ,Dublin Belgard D16E248",Post Primary School  Roll number:_60342R e:_secretary@colaisteeanna.ie w:_www.colaisteeanna.ie, Principal:_Sean O'Murchu ,Enrolment:_Boys:_604    (2022/23) ,Ethos:_Catholic   ,:_Knocklyon-Ballyboden-Ballyroan ,Fees:_No 
114,Dublin-16,Sancta Maria College ,Phone:_ 01-4934887  ," Ballyroan Rathfarnham Dublin 16  ,Dublin Belgard D16V389",Post Primary School  Roll number:_60341P e:_info@sanctamariacollege.com w:_www.sanctamariacollege.com, Principal:_Ms Geraldine Kennedy ,Enrolment:_Girls:_552    (2022/23) ,Ethos:_Catholic   ,:_Knocklyon-Ballyboden-Ballyroan ,Fees:_No 
115,Dublin-16,Rockbrook Park School ,Phone:_ 01-4933204  ," Edmondstown Road Rathfarnham Dublin 16  ,Dublin Belgard D16P897",Post Primary School  Roll number:_60321J e:_admin@rockbrook.ie w:_www.rockbrook.ie  Check out their Facebook!, Principal:_Jude Mulligan ,Enrolment:_Boys:_158    (2022/23) ,Ethos:_Catholic   ,:_Marley-Ballinteer-Rathfarnham-Churchtown ,"Fees:_Yes €4,570"
116,Dublin-16,St. Tiernan's Community School ,Phone:_ 01-2953224  ," Parkvale, Off Sandyford Rd, Dundrum, D16,  ,Dublin D16KW26",Post Primary School  Roll number:_91343T e:_runai@tiernans.ie  w:_www.tiernans.ie, Principal:_Kevin Martin ,Enrolment:_Boys:_179 Girls:_142    (2022/23) ,Ethos:_Inter Denominational   ,:_Dundrum-Balally ,Fees:_No 
117,Dublin-16,St Colmcille's Community School ,Phone:_ 01-4952888  ," Scholarstown Rd Knocklyon Dublin 16  ,Dublin Belgard D16H298",Post Primary School  Roll number:_91510M e:_info@stcolmcilles.ie w:_www.stcolmcilles.ie, Principal:_John McKennedy ,Enrolment:_Boys:_386 Girls:_341    (2022/23) ,Ethos:_Inter Denominational   ,:_Knocklyon ,Fees:_No 
118,Dublin-16,St Columba's College ,Phone:_ 01-4906791  ," Whitechurch Dublin 16  ,Dublin Belgard D16CH92",Post Primary School  Roll number:_60320H e:_ADMIN@STCOLUMBAS.IE w:_www.stcolumbas.ie, Principal:_Mark Tremayne Boobbyer ,Enrolment:_Boys:_193 Girls:_160    (2022/23) ,Ethos:_Church Of Ireland   ,":_Non-Catholic Schools, Dublin ","Fees:_Yes €9,632 (Boarding 25,904)"
119,Dublin-17,Coláiste Dhúlaigh ,Phone:_ 01-8481337  ," Barryscourt Road Coolock Dublin 17  ,Dublin City D17KH66",Post Primary School  Roll number:_70330Q e:_info@cdc.cdetb.ie w:_colaistedhulaighpp.ie, Principal:_Ms Sarah Ferns ,Enrolment:_Boys:_90 Girls:_81    (2022/23) ,Ethos:_Inter Denominational   ,:_Edenmore-Raheny-Clontarf-Killester ,Fees:_No 
120,Dublin-17,St Thomas Special School ,Phone:_ 01 8482777  ," Clonshaugh Road Coolock Dublin 17  ,Dublin City ",Post Primary School  Roll number:_19793T e:_saintthomaseducationcentre@gmail.com w:_www.saintthomaseducationcentre.com, Principal:_John White (Acting) ,Enrolment:_Boys:_28    (2022/23) ,"Ethos:_Catholic - Targeted Educational Initiative, Parish:_Priorswood    ",,Fees:_ No
121,Dublin-17,Belcamp College ,Phone:_ Closed 30th June 09  ," Malahide Rd Dublin 17  ,Dublin Fingal 17",Post Primary School  Roll number:_60280V     , Principal:_Closed ,Enrolment:_Boys:_10 Girls:_11    (2022/23) ,Ethos:_Catholic   ,:_Kilmore-Coolock-Priorswood-Darndale-Artane-Beaumomt ,Fees:_No 
122,Dublin-18,Stepaside Educate Together Secondary School ,Phone:_ 01 2907404   ," Ballyogan Road, Leopardstown  ,Dublin D18 VEA0",Post Primary School  Roll number:_68241F e:_principal@stepasideetss.ie w:_www.stepasideetss.ie, Principal:_Barbara Mulhall ,Enrolment:_Boys:_289 Girls:_221    (2022/23) ,Ethos:_Multi Denominational    ,,Fees:
123,Dublin-18,Rosemont School ,Phone:_ 01 2078007  ," Enniskerry Road, Sandyford, Dublin 18   ,Dun Laoghaire - Rathdown D18A8N2",Post Primary School  Roll number:_60930L e:_info@rosemont.ie w:_www.rosemont.ie  Check out their facebook!, Principal:_Janet Dean ,Enrolment:_Girls:_251    (2022/23) ,Ethos:_Catholic   ,:_Sandyford-Stepaside-Dundrum-Ballinteer ,"Fees:_Yes €5,194"
124,Dublin-18,Loreto College Foxrock ,Phone:_ 01-2895637  ," Foxrock Dublin 18  ,Dun Laoghaire - Rathdown D18FT21",Post Primary School  Roll number:_60240J e:_admin@loretofoxrock.ie w:_loretofoxrock.ie, Principal:_Bernadette Prendiville ,Enrolment:_Girls:_564    (2022/23) ,Ethos:_Catholic   ,:_Blackrock-Dun Laoghaire-Dalkey-Monkstown ,"Fees:_Yes €4,900"
125,Dublin-18,Cabinteely Community School ,Phone:_ 01-2852137  ," Johnstown Road, Cabinteely Dublin 18  ,Dun Laoghaire - Rathdown D18VH73",Post Primary School  Roll number:_91310E e:_office@cabinteelycs.ie w:_www.cabinteelycs.ie, Principal:_Clare Garrihy ,Enrolment:_Boys:_283 Girls:_262    (2022/23) ,Ethos:_Inter Denominational   ,:_Cabinteely-Sallynoggin-Ballybrack-Shankill-Loughlinstown ,Fees:_No 
126,Dublin-18,Oakhill Junior School ,Phone:_ 01 2950530  ," Leopardstown Road, Foxrock  ,Dublin 18", School  Roll number:_012950530 e:_info@oakhill.ie w:_www.oakhill.ie, Principal:_Ms. Charlene Peters ,Enrolment:_   (2022/23) ,Ethos:_    ,,Fees:
127,Dublin-18,St Laurence College ,Phone:_ 01-2826930  ," Loughlinstown Dublin 18  ,Dun Laoghaire - Rathdown D18AK07",Post Primary School  Roll number:_60262T e:_info@stlaurencecollege.com w:_www.stlaurencecollege.com, Principal:_Shane FitzGerald ,Enrolment:_Boys:_130 Girls:_144    (2022/23) ,Ethos:_Catholic   ,:_Cabinteely-Sallynoggin-Ballybrack-Shankill-Loughlinstown ,Fees:_No 
128,Dublin-20,Phobailscoil Iosolde / Palmerstown Community School ,Phone:_ 01-6265991  ," Palmerstown Dublin 20  ,Dublin Belgard D20P236",Post Primary School  Roll number:_91302F e:_office@palmerstowncs.ie w:_www.palmerstowncs.ie, Principal:_Catherine Delaney ,Enrolment:_Boys:_467 Girls:_335    (2022/23) ,Ethos:_Inter Denominational   ,:_Palmerstown-Chapelizod ,Fees:_No 
129,Dublin-20,The Kings Hospital ,Phone:_ 01-6436500  ," Palmerstown Dublin 20  ,Dublin Belgard D20V256",Post Primary School  Roll number:_60272W e:_reception@kingshospital.ie w:_www.kingshospital.ie/, Principal:_Mr Mark E. Ronan ,Enrolment:_Boys:_368 Girls:_362    (2022/23) ,Ethos:_Church Of Ireland   ,":_Non-Catholic Schools, Dublin ","Fees:_Yes €7,930 (Boarding 18,536)"
130,Dublin-20,Mount Sackville Secondary School ,Phone:_ 01-8214061  ," Sisters Of St.Joseph Of Cluny, Chapelizod, Dublin 20   ,Dublin Fingal D20WP68",Post Primary School  Roll number:_60120W e:_info@mountsackville.ie w:_www.mountsackville.ie, Principal:_Eileen Higgins ,Enrolment:_Girls:_673    (2022/23) ,Ethos:_Catholic   ,:_Palmerstown-Chapelizod ,"Fees:_Yes €4,750"
131,Dublin-22,Coláiste Chilliain ,Phone:_ 01-4574888  ," Bóthar Nangor, Cluain Dolcáin, Baile Atha Cliath 22  ,Dublin Belgard D22EW08",Post Primary School  Roll number:_70100W e:_eolas@colaistechilliain.ie w:_www.colaistechilliain.ie, Principal:_Feargal Ó Giolláin ,Enrolment:_Boys:_217 Girls:_222    (2022/23) ,Ethos:_Inter Denominational   ,:_Clondalkin ,Fees:_No 
132,Dublin-22,Moyle Park College ,Phone:_ 01-4574837  ," Clondalkin Dublin 22  ,Dublin Belgard D22V072",Post Primary School  Roll number:_60121B e:_info@moyleparkcollege.com w:_www.moyleparkcollege.ie, Principal:_Niamh Cahalane ,Enrolment:_Boys:_755    (2022/23) ,Ethos:_Catholic   ,:_Clondalkin ,Fees:_No 
133,Dublin-22,St. Kevin's Community College ,Phone:_ 01-6266277  ," Fonthill Road Clondalkin Dublin 22  ,Dublin Belgard D22K314",Post Primary School  Roll number:_70042L e:_admin@stkevinscc.ie  w:_stkevinscc.ie/, Principal:_Tony Barry ,Enrolment:_Boys:_225 Girls:_194    (2022/23) ,Ethos:_Inter Denominational   ,:_Lucan ,Fees:_No 
134,Dublin-22,Coláiste Bríde ,Phone:_ 01-4591158  ," New Road Clondalkin Dublin 22  ,Dublin Belgard D22C6Y2",Post Primary School  Roll number:_60122D e:_info@colaistebride.com w:_www.colaistebride.com, Principal:_Marie-Thérèse Kilmartin ,Enrolment:_Girls:_980    (2022/23) ,Ethos:_Catholic   ,:_Clondalkin ,Fees:_No 
135,Dublin-22,Griffeen Community College ,Phone:_   ," Ninth Lock Road, Dublin, Ireland  ,Dublin 22",Post Primary School  Roll number:_76454S e:_,rachelmcgrath@griffeencc.ie , Principal:_Rachel McGrath ,Enrolment:_Boys:_234 Girls:_148    (2022/23) ,,Ethos:_Multi Denominational    
136,Dublin-22,Deansrath Community College ,Phone:_ 01-4574144  ," Westbourne Rise, New Nangor Road Clondalkin Dublin 22  ,Dublin Belgard D22RY77",Post Primary School  Roll number:_70040H e:_info@deansrathcc.ie w:_www.deansrathcommunitycollege.ie, Principal:_Helen Taylor ,Enrolment:_Boys:_198 Girls:_155    (2022/23) ,Ethos:_Inter Denominational   ,:_Clondalkin ,Fees:_No 
137,Dublin-24,Tallaght Community School ,Phone:_ 01-4515566  ," Balrothery Tallaght Dublin 24  ,Dublin Belgard D24X759",Post Primary School  Roll number:_91335U e:_Office@TallaghtCS.ie w:_www.tallaghtcs.com/, Principal:_Aidan Lynch ,Enrolment:_Boys:_387 Girls:_411    (2022/23) ,Ethos:_Inter Denominational   ,:_Tallaght-Firhouse ,Fees:_No 
138,Dublin-24,St Aidan's Community School ,Phone:_ 01-4524677  ," Brookfield Tallaght Dublin 24  ,Dublin Belgard D24XA46",Post Primary School  Roll number:_91338D e:_office@sacs.ie w:_www.staidanscs.com  Check out their facebook!, Principal:_Kevin Shortall ,Enrolment:_Boys:_209 Girls:_221    (2022/23) ,Ethos:_Inter Denominational   ,:_Tallaght-Firhouse ,Fees:_No 
139,Dublin-24,St Marks Community School ,Phone:_ 01-4519399  ," Cookstown Rd Tallaght Dublin 24  ,Dublin Belgard D24VW22",Post Primary School  Roll number:_91332O e:_office@stmarkscs.ie, Principal:_Eithne Coyne ,Enrolment:_Boys:_422 Girls:_436    (2022/23) ,Ethos:_Inter Denominational   ,:_Tallaght-Firhouse ,Fees:_No 
140,Dublin-24,Firhouse Community College ,Phone:_ 01-4525807  ," Firhouse Road Dublin 24  ,Dublin Belgard D24HY03",Post Primary School  Roll number:_70140L e:_firhousecc@ddletb.ie w:_www.firhousecommunitycollege.ie, Principal:_Senan Nolan ,Enrolment:_Boys:_423 Girls:_390    (2022/23) ,Ethos:_Inter Denominational   ,:_Tallaght-Firhouse ,Fees:_No 
141,Dublin-24,Mount Seskin Community College ,Phone:_ 01-4525788  ," Jobstown Tallaght Dublin 24  ,Dublin Belgard D24K033",Post Primary School  Roll number:_70141N e:_mountseskincc@ddletb.ie w:_www.mountseskincc.ie, Principal:_Austin Fennessy ,Enrolment:_Boys:_170 Girls:_163    (2022/23) ,Ethos:_Inter Denominational   ,:_Tallaght-Firhouse ,Fees:_No 
